#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   2.0000000      0.31599399      0.34558120      0.93372770E-01  0.97196776      0.46210003      0.23206677      -1.6471001     -0.22707079    
   2.0100000      0.31482571      0.34416261      0.92443697E-01  0.97207129      0.46095628      0.23032646      -1.6423992     -0.22513863    
   2.0200000      0.31366470      0.34278840      0.91523871E-01  0.97215164      0.45978671      0.22859696      -1.6376984     -0.22320645    
   2.0300000      0.31251371      0.34142664      0.90613194E-01  0.97224861      0.45865995      0.22690547      -1.6330420     -0.22133194    
   2.0400000      0.31136981      0.34004080      0.89711569E-01  0.97232276      0.45750800      0.22521183      -1.6283854     -0.21945742    
   2.0500000      0.31023571      0.33870089      0.88818938E-01  0.97241294      0.45639780      0.22356126      -1.6237727     -0.21764144    
   2.0599999      0.30910850      0.33737043      0.87935172E-01  0.97248077      0.45526305      0.22191480      -1.6191602     -0.21582547    
   2.0699999      0.30799082      0.33608481      0.87060198E-01  0.97256428      0.45416901      0.22031009      -1.6145910     -0.21406236    
   2.0799999      0.30687994      0.33474210      0.86193942E-01  0.97262585      0.45305100      0.21869671      -1.6100215     -0.21229926    
   2.0899999      0.30577832      0.33341119      0.85336298E-01  0.97270256      0.45197275      0.21712393      -1.6054943     -0.21059209    
   2.0999999      0.30468330      0.33212215      0.84487185E-01  0.97275770      0.45087108      0.21554869      -1.6009670     -0.20888495    
   2.1099999      0.30359736      0.33081186      0.83646521E-01  0.97282767      0.44980824      0.21401916      -1.5964823     -0.20721672    
   2.1199999      0.30251780      0.32954279      0.82814224E-01  0.97287649      0.44872254      0.21248704      -1.5919970     -0.20554851    
   2.1299999      0.30144715      0.32825258      0.81990212E-01  0.97293973      0.44767469      0.21098697      -1.5875527     -0.20393838    
   2.1399999      0.30038276      0.32700303      0.81174396E-01  0.97298205      0.44660452      0.20949669      -1.5831085     -0.20232825    
